state,session,bill,legiscan_link,legiscan_title,summary
Colorado,2022,Affordable Housing,https://legiscan.com/CO/bill/AffordableHousing/2022,Page Not Found | LegiScan,
Colorado,2022,CDOT rulemaking,https://legiscan.com/CO/bill/CDOTrulemaking/2022,Page Not Found | LegiScan,
Colorado,2022,Employment Policy,https://legiscan.com/CO/bill/EmploymentPolicy/2022,Page Not Found | LegiScan,
Colorado,2022,HB 1150,https://legiscan.com/CO/bill/HB1150/2022,CO HB1150 | 2022 | Regular Session | LegiScan,Concerning the elimination of signature requirements for persons who are alleged to have violated certain offenses.
Colorado,2022,HB 1171,https://legiscan.com/CO/bill/HB1171/2022,CO HB1171 | 2022 | Regular Session | LegiScan,Concerning a supplemental appropriation to the department of education.
Colorado,2022,HB 1232,https://legiscan.com/CO/bill/HB1232/2022,CO HB1232 | 2022 | Regular Session | LegiScan,"Concerning the continuation of the regulation of persons in connection with the control of asbestos, and, in connection therewith, implementing the recommendations of the department of regulatory agencies contained in the 2021 sunset report."
Colorado,2022,HB 1275,https://legiscan.com/CO/bill/HB1275/2022,CO HB1275 | 2022 | Regular Session | LegiScan,"Concerning the continuation of the school safety resource center advisory board, and, in connection therewith, implementing the recommendation in the department of regulatory agencies' sunset report."
Colorado,2022,HB 1300,https://legiscan.com/CO/bill/HB1300/2022,CO HB1300 | 2022 | Regular Session | LegiScan,Concerning local enforcement against human trafficking by allowing the adoption of local ordinances to prevent human trafficking-related offenses in illicit businesses represented as massage businesses.
Colorado,2022,HB 1303,https://legiscan.com/CO/bill/HB1303/2022,CO HB1303 | 2022 | Regular Session | LegiScan,"Concerning an increase in the number of residential behavioral health beds, and, in connection therewith, making an appropriation."
Colorado,2022,HB 1312,https://legiscan.com/CO/bill/HB1312/2022,CO HB1312 | 2022 | Regular Session | LegiScan,Concerning modifications to sales tax statutes in order to address certain defects and anachronisms.
Colorado,2022,Labor &,https://legiscan.com/CO/bill/Labor&/2022,Page Not Found | LegiScan,
Colorado,2022,PBM,https://legiscan.com/CO/bill/PBM/2022,Page Not Found | LegiScan,
Colorado,2022,Permitting,https://legiscan.com/CO/bill/Permitting/2022,Page Not Found | LegiScan,
Colorado,2022,RULES Monitoring,https://legiscan.com/CO/bill/RULESMonitoring/2022,Page Not Found | LegiScan,
Colorado,2022,RULES Opposing,https://legiscan.com/CO/bill/RULESOpposing/2022,Page Not Found | LegiScan,
Colorado,2022,RULES Supporting,https://legiscan.com/CO/bill/RULESSupporting/2022,Page Not Found | LegiScan,
Colorado,2022,SB 094,https://legiscan.com/CO/bill/SB094/2022,CO SB094 | 2022 | Regular Session | LegiScan,Concerning the liability of a property and casualty insurer for costs incurred by a first-party claimant to substantiate a claim under a property and casualty insurance policy.
Colorado,2022,SB 175,https://legiscan.com/CO/bill/SB175/2022,CO SB175 | 2022 | Regular Session | LegiScan,"Concerning the use of mobile electronic devices when driving a motor vehicle, and, in connection therewith, making an appropriation."
Colorado,2022,SB 260,https://legiscan.com/CO/bill/SB260/2022,CO SB260 | 2021 | Regular Session | LegiScan,"Concerning the sustainability of the transportation system in Colorado, and, in connection therewith, creating new sources of dedicated funding and new state enterprises to preserve, improve, and expand existing transportation infrastructure, develop the modernized infrastructure needed to support the widespread adoption of electric motor vehicles, and mitigate environmental and health impacts of transportation system use; expanding authority for regional transportation improvements; and making an appropriation."
Colorado,2022,SUTS,https://legiscan.com/CO/bill/SUTS/2022,Page Not Found | LegiScan,
Colorado,2022,Xcel/Black Hills/Tri-state,https://legiscan.com/CO/bill/Xcel/BlackHills/Tri-state/2022,Page Not Found | LegiScan,
Colorado,2022,and retail,https://legiscan.com/CO/bill/andretail/2022,Page Not Found | LegiScan,
Colorado,2022,restoration,https://legiscan.com/CO/bill/restoration/2022,Page Not Found | LegiScan,
Colorado,2021,And Disabled,https://legiscan.com/CO/bill/AndDisabled/2021,Page Not Found | LegiScan,
Colorado,2021,Blind,https://legiscan.com/CO/bill/Blind/2021,Page Not Found | LegiScan,
Colorado,2021,C.R.S. Â§Â§,https://legiscan.com/CO/bill/C.R.S.Â§Â§/2021,Page Not Found | LegiScan,
Colorado,2021,COVID response,https://legiscan.com/CO/bill/COVIDresponse/2021,Page Not Found | LegiScan,
Colorado,2021,Chapter 4,https://legiscan.com/CO/bill/Chapter4/2021,Page Not Found | LegiScan,
Colorado,2021,H ...,https://legiscan.com/CO/bill/H.../2021,Page Not Found | LegiScan,
Colorado,2021,HB 1002,https://legiscan.com/CO/bill/HB1002/2021,CO HB1002 | 2021 | Regular Session | LegiScan,"Concerning reductions to certain taxpayers' state income tax liability related to state tax law changes made in 2020, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1004,https://legiscan.com/CO/bill/HB1004/2021,CO HB1004 | 2021 | Regular Session | LegiScan,"Concerning the ""Colorado Uniform Electronic Wills Act""."
Colorado,2021,HB 1005,https://legiscan.com/CO/bill/HB1005/2021,CO HB1005 | 2021 | Regular Session | LegiScan,"Concerning the establishment of the health care services reserve corps task force, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1006,https://legiscan.com/CO/bill/HB1006/2021,CO HB1006 | 2021 | Regular Session | LegiScan,Concerning fifth-day school week supplemental enrichment programs.
Colorado,2021,HB 1007,https://legiscan.com/CO/bill/HB1007/2021,CO HB1007 | 2021 | Regular Session | LegiScan,"Concerning a state apprenticeship registration program in the department of labor and employment, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1008,https://legiscan.com/CO/bill/HB1008/2021,CO HB1008 | 2021 | Regular Session | LegiScan,"Concerning increased options for financing forest health projects, and, in connection therewith, financing wildfire mitigation treatments."
