state,session,bill,legiscan_link,legiscan_title,summary
Nebraska,2019-2020,LB10,https://legiscan.com/NE/bill/LB10/2020,NE LB10 | 2019-2020 | 106th Legislature | LegiScan,Authorize the operation of lighted-billboard motor vehicles
Nebraska,2019-2020,LB100,https://legiscan.com/NE/bill/LB100/2020,NE LB100 | 2019-2020 | 106th Legislature | LegiScan,State intent relating to an appropriation to the Nebraska State Historical Society
Nebraska,2019-2020,LB1000,https://legiscan.com/NE/bill/LB1000/2020,NE LB1000 | 2019-2020 | 106th Legislature | LegiScan,Direct any registration fees from fantasy contests to early childhood care and education workforce
Nebraska,2019-2020,LB1001,https://legiscan.com/NE/bill/LB1001/2020,NE LB1001 | 2019-2020 | 106th Legislature | LegiScan,Require suicide prevention phone numbers on student identification cards
Nebraska,2019-2020,LB1002,https://legiscan.com/NE/bill/LB1002/2020,NE LB1002 | 2019-2020 | 106th Legislature | LegiScan,"Change provisions regarding emergency medical services, medical nutrition therapy, juvenile psychiatric units and facilities, and wholesale drug distribution"
Nebraska,2019-2020,LB1003,https://legiscan.com/NE/bill/LB1003/2020,NE LB1003 | 2019-2020 | 106th Legislature | LegiScan,Change provisions relating to cities and villages
Nebraska,2019-2020,LB1004,https://legiscan.com/NE/bill/LB1004/2020,NE LB1004 | 2019-2020 | 106th Legislature | LegiScan,Change provisions relating to age of majority and the administration of and eligibility for parole
Nebraska,2019-2020,LB1005,https://legiscan.com/NE/bill/LB1005/2020,NE LB1005 | 2019-2020 | 106th Legislature | LegiScan,Change provisions regarding nomination and election of certain partisan candidates
Nebraska,2019-2020,LB1006,https://legiscan.com/NE/bill/LB1006/2020,NE LB1006 | 2019-2020 | 106th Legislature | LegiScan,Change provisions relating to garnishment
Nebraska,2019-2020,LB1007,https://legiscan.com/NE/bill/LB1007/2020,NE LB1007 | 2019-2020 | 106th Legislature | LegiScan,Change provisions relating to competency to stand trial and be sentenced
Nebraska,2019-2020,LB1008,https://legiscan.com/NE/bill/LB1008/2020,NE LB1008 | 2019-2020 | 106th Legislature | LegiScan,"Provide, change, and eliminate provisions relating to appropriations"
