state,session,bill,legiscan_link,legiscan_title,summary
Wisconsin,2019-2020,AB1,https://legiscan.com/WI/bill/AB1/2020,WI AB1 | 2019-2020 | Regular Session | LegiScan,"An Act to amend 40.51 (8), 40.51 (8m), 66.0137 (4), 120.13 (2) (g) and 185.983 (1) (intro.); and to create 609.847 and 632.728 of the statutes; Relating to: coverage of individuals with preexisting conditions."
Wisconsin,2019-2020,AB1038,https://legiscan.com/WI/bill/AB1038/2020,WI AB1038 | 2019-2020 | Regular Session | LegiScan,"An Act to renumber 60.11 (2) (b) and 108.07 (5); to renumber and amend 49.688 (1) (c), 70.47 (3) (aL), 108.04 (3), 108.062 (4) and 108.062 (19); to amend 13.101 (4), 20.866 (2) (xm), 40.22 (1), 40.22 (2m) (intro.), 40.22 (2r) (intro.), 40.22 (3) (intro.), 40.26 (1m) (a), 40.26 (1m) (b), 40.26 (5) (intro.), 40.51 (8), 40.51 (8m), 66.0137 (4), 71.01 (6) (L) 3., 71.22 (4) (L) 3., 71.22 (4m) (L) 3., 71.26 (2) (b) 12. d., 71.34 (1g) (L) 3., 71.42 (2) (L) 3., 71.98 (3), 74.35 (5) (c), 74.37 (4) (b), 108.04 (13) (d) 3. b., 108.04 (13) (d) 4. b., 108.062 (1) (b), 108.062 (3), 108.062 (15), 108.14 (8n) (e), 108.141 (7) (a), 108.16 (6m) (a), 115.385 (1) (intro.), 115.415 (1) (b), 115.999 (1) (d) 1., 115.999 (2m) (b) 1. a., 118.38 (2) (am) (intro.), 118.38 (3), 118.60 (7) (an) 1., 119.23 (7) (an) 1., 119.33 (2) (b) 3. b., 119.33 (2) (b) 3. c., 119.33 (5) (b) 2., 119.9002 (2) (d) 2. a., 119.9002 (2) (d) 2. b., 119.9002 (2) (d) 3. a., 119.9002 (2) (d) 3. b., 119.9004 (3) (b) 2., 120.13 (2) (g), 146.40 (3), 185.983 (1) (intro.), 450.11 (5) (a), 609.83, 625.12 (2), 628.34 (3) (a) and 895.51 (title); and to create 13.101 (4d), 40.26 (5m), 40.26 (6), 49.688 (1) (c) 2., 49.688 (10m), 60.11 (2) (b) 2., 70.47 (3) (aL) 2., 100.307, 102.03 (6), 102.565 (6), 103.13 (2m), 108.04 (2) (d), 108.04 (3) (b), 108.062 (2m), 108.062 (3r), 108.062 (4) (a) 2., 108.062 (19) (a) and (b), 108.062 (20), 108.07 (5) (bm), 115.385 (6), 115.7915 (8m), 118.38 (4), 118.60 (12), 119.23 (12), 153.23, 323.19 (3), 323.19 (4), 323.265, 323.2911, 323.2912, 323.2913, 323.2915, 440.08 (5), 450.11 (5) (br), 609.205, 609.846, 609.885, 632.729, 632.895 (14g), 632.895 (16v), 895.4801, 895.51 (1) (bd), 895.51 (1) (bg), 895.51 (1) (dp), 895.51 (2r) and 895.51 (3r) of the statutes; Relating to: state government response to the COVID-19 pandemic. (FE)"
Wisconsin,2019-2020,AB114,https://legiscan.com/WI/bill/AB114/2020,WI AB114 | 2019-2020 | Regular Session | LegiScan,"An Act to repeal 40.51 (15m), 632.86 and 632.865 (title) and (1); to renumber 632.865 (2); to amend 40.51 (8), 40.51 (8m), 66.0137 (4), 120.13 (2) (g), 185.983 (1) (intro.), 601.43 (1) (a), 609.83, 616.09 (1) (a) 2. and 628.36 (2m) (e) 1.; and to create 628.36 (2m) (a) 2s., 632.861 and chapter 649 of the statutes; Relating to: registration and regulation of pharmacy benefit managers, drug pricing transparency, granting rule-making authority, and providing a penalty. (FE)"
Wisconsin,2019-2020,AB132,https://legiscan.com/WI/bill/AB132/2020,WI AB132 | 2019-2020 | Regular Session | LegiScan,"An Act to repeal 340.01 (30) (b); to consolidate, renumber and amend 340.01 (30) (intro.) and (a); to amend 23.335 (1) (q), 70.111 (1), 194.01 (7), 340.01 (29m) (bm), 340.01 (35), 340.01 (74p) (c), 341.05 (23), 346.02 (4) (title) and 346.02 (4) (a); and to create 340.01 (15ph), 346.806, 347.02 (1) (em), 347.489 (3m) and 349.18 (4) of the statutes; Relating to: electric bicycles and providing a penalty. (FE)"
Wisconsin,2019-2020,AB137,https://legiscan.com/WI/bill/AB137/2020,WI AB137 | 2019-2020 | Regular Session | LegiScan,"An Act to amend 450.01 (16) (k) and 450.035 (2); and to create 450.035 (2c), 450.035 (2i) and 450.035 (4) of the statutes; Relating to: pharmacists and pharmacy students administering vaccines."
Wisconsin,2019-2020,AB159,https://legiscan.com/WI/bill/AB159/2020,WI AB159 | 2019-2020 | Regular Session | LegiScan,"An Act to amend 23.117 (1), 23.117 (3), 23.117 (4), 23.33 (4) (d) 1., 23.33 (4) (d) 3. a., 23.33 (11) (am) 3. d., 23.335 (10) (a) 1., 23.335 (10) (a) 2., 23.335 (21) (am) 4., 29.001 (57), 59.84 (2) (j), 66.1001 (2) (c), 83.42 (1), 84.60 (1) (a), 167.31 (1) (h), 194.01 (7), 287.81 (1) (b), 340.01 (5e), 340.01 (5s), 340.01 (35), 340.01 (43), 340.01 (43m) (b), 340.01 (74), 340.01 (74p) (c), 341.058, 344.01 (2) (g), 346.02 (12), 346.05 (1m), 346.075 (title), 346.075 (1), 346.16 (2) (am), 346.23 (1), 346.23 (2), 346.24 (1), 346.24 (2), 346.24 (3), 346.25, 346.28 (2), 346.30 (1) (b) 2., 346.34 (1) (b), 346.36 (2), 346.37 (1) (a) 2., 346.37 (1) (c) 2., 346.37 (1) (c) 3., 346.37 (1) (c) 4., 346.37 (1) (d) 1., 346.37 (1) (d) 2., 346.37 (1) (e) 1., 346.37 (1) (e) 2., 346.37 (3), 346.38 (1), 346.38 (2), 346.43 (1) (b) 2., 346.47 (1), 346.49 (1) (b), 346.49 (1g) (b), 346.49 (2m) (b), 346.54 (1) (e), 346.60 (5) (a), 346.60 (5) (b), 346.71 (2), 346.80 (title), 346.80 (1), 346.80 (2) (a) (intro.), 346.80 (2) (b), 346.80 (2) (c), 346.80 (3) (a), 346.80 (3) (b), 346.80 (4), 346.80 (5), 346.803 (title), 346.803 (1) (intro.), 346.803 (1) (a), 346.803 (2), 346.803 (3), 346.803 (4), 346.804, 346.805, 346.94 (12), 347.02 (1) (i), 347.245 (1), 347.489 (1), 347.489 (2), 347.489 (3), 348.01 (2) (d), 349.015 and 779.41 (2); and to create 23.335 (1) (hh), 340.01 (15ps), 346.94 (18s) and 349.237 of the statutes; Relating to: the operation of electric scooters on highways, granting rule-making authority, and providing a penalty. (FE)"
Wisconsin,2019-2020,AB175,https://legiscan.com/WI/bill/AB175/2020,WI AB175 | 2019-2020 | Regular Session | LegiScan,An Act to create 940.20 (2r) of the statutes; Relating to: causing bodily harm to a nurse and providing a penalty. (FE)
Wisconsin,2019-2020,AB190,https://legiscan.com/WI/bill/AB190/2020,WI AB190 | 2019-2020 | Regular Session | LegiScan,"An Act to renumber and amend 281.36 (3r) (a) 1.; to amend 281.36 (3r) (am); and to create 281.36 (1) (ae), 281.36 (1) (ag), 281.36 (1) (be), 281.36 (3r) (a) 1. b., c. and d., 281.36 (3t) (g) and 281.36 (3w) of the statutes; Relating to: wetland mitigation banks, providing an exemption from emergency rule procedures, providing an exemption from rule-making procedures, and requiring the exercise of rule-making authority."
Wisconsin,2019-2020,AB206,https://legiscan.com/WI/bill/AB206/2020,WI AB206 | 2019-2020 | Regular Session | LegiScan,"An Act to repeal 23.33 (1) (jo) 5., 23.335 (1) (zgm) 5., 30.50 (10m) (e), 94.55 (2) (e), 94.55 (3), 94.55 (3) (c), 94.67 (15r), 340.01 (50m) (e), 350.01 (10v) (e), 885.235 (1) (d) 5., 939.22 (33) (e), 961.32 (3) (b) 2. and 967.055 (1m) (b) 5.; to amend 20.115 (7) (gc), 23.33 (4c) (a) 5., 23.33 (4c) (b) 4. b., 23.335 (12) (a) 5., 23.335 (12) (b) 5., 30.681 (1) (d), 30.681 (2) (d) 1. b., 94.55 (1), 94.55 (2) (title), 94.55 (2) (a), 94.55 (2) (b) 2., 94.55 (2) (b) 3., 94.55 (2) (b) 4., 94.55 (2) (b) 5., 94.55 (2) (c), 94.67 (2), 97.02, 182.001 (3), 343.305 (8) (b) 2. g., 343.305 (8) (b) 4m. (intro.), 343.305 (8) (b) 4m. a., 343.305 (8) (b) 5. c., 346.63 (1) (d), 346.63 (2) (b) 2., 348.27 (18) (a) 1. f., 350.101 (1) (e), 350.101 (2) (d) 2., 940.09 (2) (b), 940.25 (2) (b), 941.20 (1) (bm), 961.01 (14), 961.14 (4) (t) 1., 961.32 (2m) (b), 961.32 (3) (a) 1. and 2., 961.32 (3) (b) (intro.), 961.32 (3) (b) 1., 961.32 (3) (b) 3., 961.32 (3) (b) 4., 961.32 (3) (b) 5., 961.32 (3) (c), 961.32 (3) (d), 961.34 (2) (a), 961.34 (2) (b), 961.38 (1n) (a), 961.38 (1n) (b), 961.442 (intro.) and 961.55 (9); to repeal and recreate 94.55 (title); and to create 20.115 (7) (f), 94.55 (2) (am), 94.55 (2) (b) 2m., 94.55 (2) (b) 4g., 94.55 (2) (b) 4m., 94.55 (2) (b) 4s., 94.55 (2) (f), 94.55 (2g), 94.55 (2m), 94.55 (2p), 94.55 (2r), 94.55 (2t), 94.55 (3m), 94.55 (3r), 94.55 (3w), 94.67 (15c), 961.01 (3r), 961.14 (4) (t) 3., 961.32 (3) (b) 4m., 961.32 (3) (b) 4r. and 961.32 (3) (cm) of the statutes; Relating to: regulating hemp, providing an exemption from emergency rule procedures, granting rule-making authority, and making an appropriation. (FE)"
Wisconsin,2019-2020,AB22,https://legiscan.com/WI/bill/AB22/2020,WI AB22 | 2019-2020 | Regular Session | LegiScan,An Act to create 38.04 (4) (e) 8. and 343.71 (5) (h) of the statutes; Relating to: driver education instruction on human trafficking. (FE)
Wisconsin,2019-2020,AB225,https://legiscan.com/WI/bill/AB225/2020,WI AB225 | 2019-2020 | Regular Session | LegiScan,An Act to renumber and amend 76.638 (2); and to create 76.638 (2) (b) and 76.638 (2m) of the statutes; Relating to: allocation of early stage seed investment credit to offset taxes imposed on insurers. (FE)
