Bill,assembly_number,category
HF 2643,88,1523
SF 2373,88,1500
HF 2556,88,2007
SF 2284,88,2000
SF 2418,88,1500
HF 2641,88,500
SF 458,88,1611
HF 2627,88,2003
HF 2642,88,2000
SF 2419,88,2008
SF 2338,88,1500
SF 2417,88,2000
HF 2647,88,2007
SF 2398,88,498
SF 2415,88,1000
SSB 3202,88,2009
SSB 3203,88,1000
SSB 3204,88,1600
HF 594,88,2007
HSB 540,88,2007
HF 599,88,1005
HF 2644,88,1000
HF 2540,88,2007
HSB 710,88,1600
HF 2192,88,300
HF 2588,88,1500
SF 2416,88,2000
SF 2261,88,333
SF 2339,88,1500
HF 2486,88,2007
HF 2481,88,1500
HF 2626,88,1500
HF 2639,88,1905
SF 2413,88,2103
SF 2364,88,1500
HF 2629,88,2000
HSB 712,88,2000
SF 2414,88,1500
HF 2531,88,2000
HF 2633,88,2007
HF 2636,88,1600
HF 2635,88,1905
HF 2638,88,1905
HF 2637,88,1608
HSB 711,88,1000
HF 2630,88,323
HF 2572,88,1005
SF 2410,88,2007
SF 2097,88,1704
HF 2634,88,1902
SSB 3201,88,2000
HF 2631,88,2099
SF 2412,88,1704
SF 2387,88,400
HF 2628,88,2000
HF 2640,88,1704
HF 2270,88,1901
HF 2271,88,1500
HF 2424,88,1003
HF 2485,88,2007
HF 2600,88,1905
SF 2313,88,1500
SF 2120,88,2007
HF 2581,88,500
HJR 14,88,1302
HF 2339,88,1500
SF 2349,88,2099
SF 2409,88,300
SF 2406,88,2007
HF 2442,88,2000
SF 2411,88,1500
SSB 3200,88,1500
HF 2512,88,1302
SF 2211,88,1500
SF 2400,88,1500
SF 2408,88,2000
SSB 3116,88,1500
SF 2275,88,1003
SF 2403,88,1500
SF 2368,88,2007
HF 2499,88,1500
SF 2348,88,2007
SF 2380,88,1925
HF 2589,88,1500
HF 419,88,1925
HF 2547,88,1905
SF 2360,88,698
SF 2363,88,300
HJR 2004,88,2007
HF 2443,88,2007
HF 2459,88,1500
HF 2520,88,2007
HF 2575,88,1704
SF 2252,88,1905
SF 2383,88,399
HF 2527,88,1500
HSB 680,88,332
HF 2351,88,1500
HF 2463,88,1500
HSB 551,88,2007
HSB 674,88,1005
SF 2331,88,500
HF 2364,88,1905
SF 2278,88,2005
SSB 3152,88,1500
SSB 3199,88,1902
HF 2534,88,1204
HF 2620,88,1704
SF 2396,88,1704
HF 2592,88,1500
SF 2372,88,800
SF 2393,88,1500
SSB 3198,88,1600
HSB 657,88,1500
HF 2380,88,1704
HF 2623,88,2000
SF 2240,88,1905
HF 2622,88,1500
HSB 708,88,2009
SF 2399,88,1905
SJR 2004,88,2000
HF 2412,88,1704
HF 658,88,1905
HF 2377,88,1600
HF 2406,88,1500
HF 2618,88,2000
HSB 696,88,1902
HSB 695,88,1600
HF 2621,88,332
SF 2221,88,1500
HF 2591,88,404
HF 2548,88,501
HF 2477,88,404
HF 2372,88,2000
SSB 3147,88,2000
SF 2389,88,2000
SF 2159,88,107
SF 2061,88,1798
SF 2405,88,1905
HF 2422,88,2000
SF 2323,88,1704
HF 2492,88,1302
SF 2271,88,1704
HSB 709,88,1925
SF 2283,88,1500
SF 2196,88,500
SF 2351,88,1704
HF 2537,88,500
HF 2559,88,1505
SF 2377,88,1500
SF 2402,88,1608
SF 2374,88,1704
SF 2394,88,1500
SSB 3197,88,1608
HF 2238,88,1704
SF 2318,88,1500
HF 2384,88,1500
SF 438,88,600
HF 2138,88,335
HF 2375,88,1500
SF 2248,88,1500
HF 2279,88,2009
HF 2359,88,1704
SF 2153,88,1905
SF 2356,88,698
HF 2593,88,500
HF 2607,88,709
HF 2604,88,1302
HF 2605,88,500
HF 2616,88,1704
HF 426,88,1500
SF 2131,88,1500
SF 2404,88,1704
SJR 2005,88,1704
SF 2401,88,2009
SSB 3192,88,2000
HF 2568,88,500
HF 2615,88,1905
HF 2539,88,1500
SF 2343,88,1925
SF 2184,88,2007
HF 2584,88,2007
SF 2378,88,1204
HF 2222,88,1905
HF 2567,88,1902
HF 2614,88,1704
SF 2395,88,1502
SF 2272,88,1500
HF 2582,88,2003
HF 2309,88,2007
HF 737,88,1921
HSB 577,88,2007
HF 2312,88,1407
HF 2382,88,1608
HF 2585,88,331
HF 2552,88,1500
SSB 3196,88,2007
SF 2369,88,1400
HF 2408,88,1005
HF 2601,88,2007
HF 2602,88,1905
HF 2529,88,1201
SF 2259,88,1500
SF 2197,88,2000
HSB 707,88,1704
SF 583,88,1921
HF 2458,88,709
SF 2366,88,1200
HF 2594,88,1704
HF 2518,88,2000
HF 2454,88,1905
SF 2397,88,1600
HF 2595,88,2007
SF 2297,88,2003
HF 2524,88,1520
SF 2392,88,709
SF 2163,88,1905
SF 2329,88,2015
HF 2596,88,1704
SF 457,88,1205
SF 2379,88,501
SF 2381,88,1204
SF 2382,88,1905
SF 2286,88,2007
SF 2287,88,1608
SF 2320,88,1704
SF 2322,88,1905
SF 2332,88,1921
SF 2341,88,1211
SF 2376,88,1500
SF 2264,88,701
SF 2182,88,1698
SF 2186,88,1905
SF 2225,88,1925
SF 2273,88,1905
SF 2274,88,500
HF 2532,88,600
HF 2502,88,500
HSB 670,88,1521
SF 2262,88,1500
HF 2310,88,1500
SF 2314,88,2007
HF 2128,88,1921
HF 2583,88,1704
HF 2501,88,708
HF 2506,88,1608
HF 2509,88,1500
HF 2515,88,1500
HF 2538,88,1227
HF 2541,88,2005
HF 2554,88,500
HF 2558,88,1704
HF 2571,88,1302
HF 2445,88,1302
HF 2446,88,2007
HF 2447,88,2000
HF 2473,88,1905
HF 2474,88,1302
HF 2479,88,2007
HF 2235,88,1005
HF 2338,88,709
HF 2345,88,1600
HF 2374,88,2007
HF 2390,88,2013
HF 2401,88,2007
HF 2405,88,322
HF 2411,88,1905
HF 2436,88,2007
HF 2578,88,500
HF 2580,88,2008
HF 2579,88,2007
HF 2419,88,604
HF 2490,88,600
HF 2569,88,2000
HF 2488,88,1905
HF 2438,88,300
HF 2565,88,500
HF 2434,88,1704
SF 2307,88,1600
SF 628,88,1302
HF 2340,88,500
HF 2418,88,602
HF 2564,88,500
SSB 3194,88,1600
HF 2308,88,1704
SF 2268,88,2007
HSB 697,88,2009
SF 436,88,1905
SF 2385,88,1700
SF 2390,88,2007
HF 2460,88,1500
HF 2346,88,711
HF 2111,88,1500
HF 2342,88,2007
SSB 3193,88,1704
SF 2391,88,1905
HF 2551,88,323
SF 2019,88,399
HF 2587,88,1608
HF 2573,88,2007
HF 2542,88,2007
SF 2269,88,1704
SF 2289,88,500
SF 2358,88,2007
HF 2452,88,1905
HF 2475,88,1704
HF 2494,88,1704
SF 2352,88,711
SF 2371,88,500
HF 716,88,2000
HF 2414,88,1000
HF 2521,88,1401
HF 2562,88,332
SF 2092,88,1500
SF 2375,88,1905
SF 2254,88,2000
HF 2470,88,1500
HF 2550,88,2007
HF 2259,88,1905
HF 2423,88,323
SF 2299,88,500
HF 2435,88,1500
SF 2345,88,1798
SF 2357,88,2007
SF 2346,88,300
HF 2453,88,1500
SF 2321,88,1500
HF 2590,88,1003
