Bill,assembly_number
HF 2531,83
SF 2389,83
SF 2389,83
SF 2386,83
HF 2534,83
SF 2388,83
SF 2388,83
HSB 742,83
SSB 3258,83
HF 2526,83
HF 2357,83
HF 2357,83
HF 2357,83
HF 2357,83
HF 2357,83
SF 2270,83
SF 2270,83
SF 2270,83
SF 2270,83
SJR 2001,83
SJR 2001,83
SJR 2001,83
SJR 2001,83
SF 2385,83
SF 2385,83
SSB 3251,83
SF 2382,83
HF 2533,83
HF 758,83
SJR 2009,83
SF 2235,83
SF 2235,83
SF 2235,83
SF 2235,83
SF 2235,83
SF 2383,83
SF 2201,83
SF 2201,83
SF 2201,83
SF 2201,83
SF 2201,83
SF 2373,83
SF 2215,83
SF 2215,83
SF 2215,83
SF 2215,83
SF 2384,83
SF 2384,83
SSB 3254,83
HF 2525,83
HF 2513,83
HSB 741,83
HSB 739,83
SF 2255,83
SF 2255,83
SF 2255,83
SF 2376,83
SF 2376,83
SF 2380,83
SF 2380,83
HF 2528,83
SF 2367,83
HF 2512,83
SF 2379,83
HF 2281,83
HF 2281,83
HF 2281,83
HF 2281,83
HF 2281,83
SF 2219,83
SF 2219,83
SF 2219,83
SF 2219,83
SF 2219,83
HF 2530,83
SF 2381,83
SF 2381,83
SSB 3253,83
HF 2523,83
SF 2378,83
SF 2378,83
HF 2527,83
SF 2353,83
SF 2353,83
SF 2353,83
HF 2519,83
HF 2370,83
HF 2370,83
HF 2370,83
HF 2370,83
HF 2459,83
HF 2459,83
HF 2459,83
SSB 3252,83
HSB 736,83
SF 2364,83
SF 2364,83
SF 2364,83
SSB 3245,83
HF 2197,83
HF 2197,83
HF 2197,83
HF 2197,83
HF 2197,83
SF 2377,83
SF 2377,83
SF 2103,83
SF 2103,83
SF 2103,83
SF 2103,83
SF 2103,83
HF 2251,83
HF 2251,83
HF 2251,83
HSB 738,83
SSB 3250,83
HF 2327,83
HF 2327,83
HF 2327,83
HF 2327,83
HF 2327,83
SF 2356,83
SF 2356,83
HF 2456,83
HF 2456,83
HF 2456,83
HF 2456,83
HF 2456,83
HSB 735,83
HF 2518,83
SSB 3248,83
HF 2522,83
HF 823,83
SF 2366,83
SF 2366,83
SF 2324,83
SF 2324,83
SF 2324,83
SF 2324,83
SF 2324,83
HF 2520,83
HF 2521,83
HF 2524,83
HSB 737,83
SSB 3239,83
SSB 3243,83
SF 2368,83
SF 2368,83
HF 2514,83
HF 2195,83
HF 2195,83
HF 2195,83
HF 2195,83
HF 2195,83
HF 2485,83
HF 2485,83
HF 2516,83
SF 2372,83
SF 2372,83
HF 2418,83
HF 2418,83
HF 2418,83
HF 2418,83
HF 2484,83
HF 2484,83
SF 2336,83
SF 2336,83
SF 2336,83
SF 2375,83
SF 2374,83
SF 2374,83
HF 2515,83
SSB 3246,83
SF 2357,83
SF 2357,83
SF 2357,83
HF 2502,83
HF 2502,83
SF 2314,83
SF 2314,83
SF 2314,83
SF 2314,83
SF 2314,83
HF 2399,83
HF 2399,83
HF 2399,83
HSB 733,83
SSB 3240,83
HF 2304,83
HF 2304,83
HF 2304,83
HF 2304,83
SSB 3233,83
SSB 3034,83
SSB 3034,83
SSB 3034,83
SSB 3034,83
HF 2405,83
HF 2405,83
HF 2405,83
HF 2405,83
HF 2405,83
SF 2265,83
SF 2265,83
SF 2265,83
SF 2265,83
HF 2382,83
HF 2382,83
HF 2382,83
HF 2382,83
HF 2382,83
SF 2349,83
SF 2349,83
SF 2349,83
SF 2369,83
SSB 3125,83
SSB 3125,83
SSB 3125,83
SSB 3125,83
SSB 3125,83
SF 2354,83
SF 2354,83
SF 2354,83
SF 2370,83
SF 2370,83
SSB 3244,83
HF 2492,83
HF 2492,83
SF 2288,83
SF 2288,83
SF 2288,83
SF 2288,83
SF 2210,83
